科目区分,修得済単位,平均点,科目コード▼/▲,授業科目名▼/▲,単位,成績▼/▲,Q,修得時期,修得時期※1
文系教養科目,17.0,,,,,,,,
英語科目,17.0,,,,,,,,
第二外国語科目,4.0,,,,,,,,
日本語・日本文化科目,0.0,,,,,,,,
教職科目  ※,0.0,,,,,,,,
広域教養科目,10.0,,,,,,,,
理工系教養科目,28.0,,,,,,,,
小計,76.0,,,,,,,,
合計,164.0,,,,,,,,
教養科目群,,90.83,,,,,,,
専門科目群,,95.16,,,,,,,
合計,,92.7,,,,,,,
専門科目,84.0,,,,,,,,
小計,84.0,,,,,,,,
研究関連科目,4.0,,,,,,,,
小計,4.0,,,,,,,,
合計,10.0,,,,,,,,
,,,CSC.T361,オブジェクト指向設計,2-0-0,95,4Q,2021後学期,
,,,CSC.T374,システム制御,2-0-0,98,4Q,2021後学期,
,,,CSC.T375,システム構築演習,0-2-0,94,4Q,2021後学期,
,,,CSC.T341,コンピュータ論理設計,2-1-0,95,1Q,2021前学期,
,,,CSC.T343,データベース,2-0-0,99,1Q,2021前学期,
,,,CSC.T344,システムプログラミング,1-1-0,99,1Q,2021前学期,
,,,CSC.T362,数値計算法,2-0-0,98,1Q,2021前学期,
,,,EEE.D201,量子力学,2-0-0,98,1Q,2021前学期,
,,,CSC.T351,システム解析,2-0-0,100,2Q,2021前学期,
,,,CSC.T352,パターン認識,2-0-0,94,2Q,2021前学期,
,,,ICT.S307,統計的信号処理,2-0-0,92,2Q,2021前学期,
,,,IEE.B205,非協力ゲーム理論,2-0-0,86,2Q,2021前学期,
,,,MCS.T312,マルコフ解析,2-0-0,91,2Q,2021前学期,
,,,TSE.M203,線形システム論,1-1-0,99,2Q,2021前学期,
,,,CSC.T252,論理回路理論,2-0-0,95,3Q,2020後学期,
,,,CSC.T261,情報論理,2-0-0,100,3Q,2020後学期,
,,,CSC.T262,アセンブリ言語,2-0-0,95,3Q,2020後学期,
,,,CSC.T263,関数型プログラミング基礎,1-1-0,100,3Q,2020後学期,
,,,ICT.M310,数理計画法,2-0-0,84,3Q,2020後学期,
,,,MTH.C211,応用解析序論第一,1-0-0,100,3Q,2020後学期,
,,,CSC.T254,機械学習,2-0-0,100,4Q,2020後学期,
,,,CSC.T271,データ構造とアルゴリズム,2-0-0,100,4Q,2020後学期,
,,,CSC.T273,オブジェクト指向プログラミング,1-1-0,100,4Q,2020後学期,
,,,ICT.M215,離散構造とアルゴリズム,2-1-0,97,4Q,2020後学期,
,,,CSC.T241,計算基礎論,2-0-0,98,1Q,2020前学期,
,,,CSC.T242,確率論・統計学,2-0-0,85,1Q,2020前学期,
,,,CSC.T243,手続き型プログラミング基礎,2-1-0,100,1Q,2020前学期,
,,,CSC.T345,コンピュータネットワーク,2-0-0,99,1Q,2020前学期,
,,,CSC.T251,オートマトンと形式言語,2-0-0,100,2Q,2020前学期,
,,,CSC.T253,手続き型プログラミング発展,2-1-0,98,2Q,2020前学期,
,,,CSC.T272,人工知能,2-0-0,92,2Q,2020前学期,
,,,CSC.T353,生命情報解析,2-0-0,89,2Q,2020前学期,
,,,XCO.B102,情報理工学基礎2,1-0-0,70,3Q,2019後学期,
,,,XCO.B103,情報理工学基礎3,1-0-0,100,4Q,2019後学期,
,,,XCO.A101,情報理工学リテラシー,1-0-0,99,1Q,2019前学期,
,,,XCO.B101,情報理工学基礎1,1-0-0,85,2Q,2019前学期,
,,,XCO.P101,科学・技術の創造プロセス【情報理工学院】,1-0-0,89,2Q,2019前学期,
,,,XCO.T483,応用AI・データサイエンスA,1-0-0,80,3Q,,2022後学期
,,,XCO.T489,基盤人工知能,1-0-0,90,3Q,,2022後学期
,,,XCO.T490,基盤人工知能演習,0-1-0,100,3Q,,2022後学期
,,,CSC.T421,ヒューマンコンピュータインタラクション,2-0-0,89,1Q,,2022前学期
,,,XCO.T473,サイバーセキュリティ概論,2-0-0,91,1Q,,2022前学期
,,,ART.T458,先端機械学習,2-0-0,100,2Q,,2022前学期
,,,XCO.T486,応用AI・データサイエンスD,1-0-0,71,2Q,,2022前学期
